Name;Size;"First name";"Last name";Downloads;Date;Path
Session_12.ipynb;3534;Christoph;Hau;23;"06.02.2026 09:04";Session_12.ipynb
Session_12_solutions.ipynb;143982;Christoph;Hau;11;"06.02.2026 09:04";Session_12_solutions.ipynb
Session_10.ipynb;5499;Christoph;Hau;35;"23.01.2026 10:16";Session_10.ipynb
Session_9_solutions.ipynb;1994712;Christoph;Hau;25;"16.01.2026 10:59";Session_9_solutions.ipynb
Session_9.ipynb;7426;Christoph;Hau;32;"16.01.2026 10:02";Session_9.ipynb
Übungsaufgaben_I.pdf;94755;Christoph;Hau;93;"09.01.2026 09:51";Übungsaufgaben_I.pdf
Übungsaufgaben_I.ipynb;7373;Christoph;Hau;26;"09.01.2026 09:50";Übungsaufgaben_I.ipynb
exam_prep.ipynb;30699;Christoph;Hau;57;"29.12.2025 12:21";exam_prep.ipynb
Session_8_Lösung.ipynb;11685;Christoph;Hau;34;"05.12.2025 10:04";Session_8_Lösung.ipynb
Session_8.ipynb;8000;Christoph;Hau;40;"05.12.2025 10:04";Session_8.ipynb
Session_7_lösung.ipynb;9385;Christoph;Hau;37;"28.11.2025 08:38";Session_7_lösung.ipynb
Session_4_lösung.ipynb;11521;Christoph;Hau;44;"07.11.2025 12:00";Session_4_lösung.ipynb
Session_6_lösung.ipynb;15927;Christoph;Hau;46;"21.11.2025 10:04";Session_6_lösung.ipynb
Session05_lösung.ipynb;25802;Christoph;Hau;38;"20.11.2025 09:31";Session05_lösung.ipynb
Session_7.ipynb;3977;Christoph;Hau;45;"28.11.2025 08:37";Session_7.ipynb
Session_6.ipynb;10670;Christoph;Hau;45;"21.11.2025 10:04";Session_6.ipynb
Session05.ipynb;12887;Christoph;Hau;43;"14.11.2025 10:03";Session05.ipynb
Session_3.ipynb;11643;Christoph;Hau;73;"31.10.2025 09:14";Session_3.ipynb
Session_4.ipynb;5404;Christoph;Hau;49;"07.11.2025 10:21";Session_4.ipynb
Session_2.ipynb;20662;Christoph;Hau;79;"24.10.2025 10:21";Session_2.ipynb
